"global_turn_id";"query";"target_answer";"alex_answer";"step_text";"recipe_title";"is_ingredient_list";"gpt-3"
"74_12";"I've got my roux and I've added in the chili mixture what should I add now?";"beef.";"After adding the chili mixture you should stir in remaining broth and ground beef.";"Heat oil in cast-iron skillet over medium heat until shimmering. Add flour and stir immediately with a wire whisk. Continue to stir until roux turns light golden brown. Add chili mixture and stir in remaining broth and ground beef. Bring sauce to a boil, then reduce heat to maintain a slow and steady simmer. Cook, stirring occasionally, until sauce is dark red and thick like a gravy, about 30 minutes. If too thick, add a little water to thin it out.";"Tex-Mex Cheese Enchiladas With Red Chili Gravy Recipe";"False";"Add ground beef to the roux and chili mixture."
"76_10";"what do I mix with a pineapple mixture?";"duck.";"You add duck to the pineapple mixture in the bowl.";"Thinly slice duck, halving any long strips into bite-size pieces. Add duck into bowl with pineapple mixture. Pour on dressing and toss to combine. Transfer to plates and serve immediately.";"Thai Spicy Duck Salad Recipe";"False";"Thinly slice duck and add to the bowl with the pineapple mixture. Halve any long strips of duck into bite-size pieces and pour on dressing. Toss to combine and serve immediately."
"30_11";"how much sauce should coat the noodles?";"<no answer>.";"This can't be answered from the recipe instructions.";"Increase heat to high and cook, stirring and tossing rapidly, until pasta is al dente and sauce is thickened and coats noodles, 2 to 3 minutes, adding more pasta cooking water in 1/4 cup (60ml) increments as needed. At this point, the sauce should coat the pasta but still be loose enough to pool around the edges of the pan; because of the starch in the beans and pasta water, the sauce will continue to tighten up in the time it takes to plate and serve, so make sure it's a little looser than you would normally serve a sauce. Remove from heat, add 3/4 of grated cheese, and stir rapidly to incorporate. Season with salt to taste. Serve immediately, passing remaining grated cheese at the table.";"Pasta With Beans and Greens Recipe";"False";"The sauce should coat the noodles but still be loose enough to pool around the edges of the pan. It should be a little looser than you would normally serve a sauce."
"20_4";"what sort of fat do I need to use?";"duck.";"You need to use duck fat here.";"Adjust oven rack to lower-middle position and preheat oven to 300°F (150°C). Place stock in a large liquid measuring cup and sprinkle gelatin over the top. Set aside. Heat duck fat (if using) in a large Dutch oven over high heat until shimmering. Add salt pork and cook, stirring occasionally, until browned all over, about 8 minutes. Using a slotted spoon, transfer to a large bowl, leaving rendered fat in Dutch oven, and set aside. (If not using duck fat, cook pork with no additional fat.)";"Traditional French Cassoulet Recipe";"False";"Cook salt pork in duck fat or with no additional fat if not using duck fat."
"53_5";"what else do I need to put in the food processor?";"emaining three batches of mushrooms.";"Please put the remaining three batches of mushrooms in the food processor.";"Place 1/4 of mushrooms in the bowl of a food processor. Pulse until roughly chopped, 6 to 8 short pulses. Transfer to a large bowl and set aside. Repeat with remaining three batches of mushrooms. Fit food processor with grater attachment and grate all of the Brussels sprouts. Transfer to a large bowl and set aside.";"Creamy Brussels Sprout and Mushroom Lasagna Recipe";"False";"Place the remaining three batches of mushrooms in the food processor and pulse until roughly chopped, 6 to 8 short pulses. Transfer to a large bowl and set aside."
"22_10";"what do I season the shallots with?";"salt.";"You should season the shallots with salt.";"In a 3-quart stainless steel saucier, heat 1 tablespoon (15ml) olive oil over medium heat until shimmering. Add shallots, season lightly with salt, and cook, stirring frequently with a rubber spatula, until shallots are softened but not browned, about 3 minutes. Add garlic and continue to cook, stirring frequently, until garlic is softened as well, about 1 minute longer.";"Roman Rice-Stuffed Tomatoes (Pomodori al Riso) Recipe";"False";"Salt should be used to season the shallots."
"0_16";"what should I sprinkle on the rice?";"cilantro.";"Finally, you should sprinkle the rice with cilantro, chopped peanuts, scallions, and sliced chilies";"When potatoes are fully softened, blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches. Bring to a simmer, stir in kale, and cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice. Season soup to taste with salt, pepper, and hot sauce. Stir in cilantro, reserving some for garnish. Serve soup with rice, sprinkled with cilantro, chopped peanuts, scallions, and sliced chilies.";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"False";"Sprinkle cilantro on top of the served rice."
"70_12";"which Electric Appliance do I need to use to mix ingredients?";"electric handheld mixer.";"Us an electric hand mixer to beat eggs and sugar in a large mixing bowl.";"In the bowl of a stand mixer fitted with a whisk attachment, whisk eggs and sugar at medium speed until pale and glossy, 60 to 90 seconds. (Alternatively, beat eggs and sugar in a large mixing bowl using an electric handheld mixer or a whisk, about 90 seconds for the electric mixer and 2 minutes for the whisk.)";"Gâteau Invisible (Invisible Apple Cake) Recipe";"False";"An electric handheld mixer is needed to mix ingredients."
"57_2";"for how many minutes should I cool it?";"about 5 minutes.";"The Brussels sprouts should cool to room temperature for about 5 minutes.";"In a large cast iron or carbon steel skillet, heat oil over high heat until just smoking. Carefully add Brussels sprouts leaves to the pan, spreading them into as even a layer as possible. Cook, stirring and shaking the pan occasionally, until leaves are charred in spots and bright green, 2 to 3 minutes. Working quickly, transfer Brussels sprouts to a rimmed baking sheet or large plate, spread in an even single layer, and set aside to cool to room temperature, about 5 minutes.";"Charred Brussels Sprouts and Leek Muchim With Coffee-Dijon Dressing Recipe";"False";"For the Brussels sprouts leaves to cool to room temperature, they should cool for approximately 5 minutes."
"87_14";"what do I add to the butter?";"flour.";"Once the 3 tablespoons butter are melted, you need to add flour.";"Melt remaining 3 tablespoons butter in a medium saucepan over medium-high heat. Add flour and cook, stirring, until pale brown and nutty, about 2 minutes. Whisking constantly, slowly add milk in a thin, steady stream. Bring to a boil, whisking constantly. Remove from heat and stir in nutmeg and 3/4 of mozzarella. Season to taste with salt and pepper.";"Creamy Brussels Sprout and Mushroom Lasagna Recipe";"False";"Add flour to the melted butter in a medium saucepan over medium-high heat and cook, stirring, until pale brown and nutty, about 2 minutes."
